ingredient,source_medicine_count,source_composition_count,source_evidence,sample_source_medicines,risk_flags,relation_status,review_status
glibenclamide,18,6,Treatment of Type 2 diabetes mellitus,Diabetrol SR Tablet | Diabetrol Tablet | Dibeta GB 5 mg/500 mg Tablet | Duotrol Tablet | Duotrol-SR Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
hydroxyzine,18,3,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Atarax 10mg Tablet | Atarax 25mg Tablet | Atarax Drops | Atarax Syrup | Atazis 25mg Tablet,,composition_level_evidence_only,review_required
itopride,18,5,Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease | Treatment of HeartburnTreatment of Nausea,Eiref 40 mg/150 mg Capsule SR | Ganaton OD Capsule SR | Ganaton Tablet | Ganaton Total Capsule SR | Happi-IT Capsule PR,,composition_level_evidence_only,review_required
salbutamol,18,16,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma | Treatment of Asthma | Cough | Cough with mucus | Treatment of Cough,Albutamol Neo Syrup | Ambrodil-S Syrup | Asthalin 100mcg Inhaler | Asthalin 2 Tablet | Asthalin 4 Tablet,,composition_level_evidence_only,review_required
caffeine,17,8,Treatment of Common cold | Treatment of Headache | Migraine,Diclowin Plus PR Tablet | LCZ-Cold Tablet | Lemolate Gold  Tablet | Maxtra Cold Plus Tablet | Migranil EC 1mg/100mg Tablet,,composition_level_evidence_only,review_required
ceftriaxone,17,11,Treatment of Bacterial infections | Bacterial infections,Elores 1.5gm Injection | Elores 3000mg Injection | Monocef 1gm Injection | Monocef 250mg Injection | Monocef 2gm Injection,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
clarithromycin,17,7,Treatment of Bacterial infections | Treatment of Peptic ulcer disease | Peptic ulcer disease,Acnesol CL Gel | Bioclar 250mg Tablet | Claribid 250 Tablet | Evoxil-HP Kit | Klarim 250mg Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
clozapine,17,5,Schizophrenia,Alkepin Odt 12.5mg Tablet | Alkepin Odt 200 Tablet | Alkepin Odt 50mg Tablet | Lozapin 100mg Tablet | Lozapin 50mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
eberconazole,17,2,Treatment of Fungal skin infections,Eberclin Cream | Eberclin-M Cream | Ebercos Cream | Eberderm Cream | Eberfine Cream,,composition_level_evidence_only,review_required
enoxaparin,17,4,Treatment and prevention of Blood clots,Enclex 40 Injection | Enclex 60 Injection | Enoxarin 40 Injection | Enoxarin 60 Injection | Enoxatroy 40mg Injection,injection_or_parenteral,composition_level_evidence_only,review_required
l-ornithine l-aspartate,17,10,Treatment of Liver  disease | Treatment of Indigestion | Liver disease,Analiv 500 Tablet | Hep Grow Tablet | Hepagard  Granules | Hepalair  150 mg/100 mg Tablet | Hepamerz Granules,,composition_level_evidence_only,review_required
lacosamide,17,5,Epilepsy/Seizures,Laconext 150 Tablet | Lacopsy 200 Tablet | Lacopsy 50mg Tablet | Lacosam 100 Tablet | Lacoset 100 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
magaldrate,17,11,Acidity Stomach ulcers Bloating | Treatment of AcidityTreatment of HeartburnTreatment of Stomach ulcers | Acidity Heartburn Stomach ulcers | Acidity Indigestion,Aciloc-S Suspension Sugar Free | Domgel Suspension | Gasowel Plus Syrup | Gastril Mps  Syrup | Megacid Syrup,,composition_level_evidence_only,review_required
nepafenac,17,3,Treatment of Post-operative eye pain and inflammation,Amnac Opthalmic Suspension | Amplinak Ophthalmic Suspension | Ilevro Ophthalmic Suspension | Micronac PF Eye Drop | Nefasol Eye Drop,,composition_level_evidence_only,review_required
nicotinamide,17,7,Treatment of Acne | Treatment of Nutritional deficiencies | Nutritional deficiencies Vitamin B12 deficiency | Vitamin & mineral deficiency,A-CN Gel | Acnay Gel | Acnesol-NC Gel | Acnetoin Gel | Acnilite Gel,injection_or_parenteral,composition_level_evidence_only,review_required
nitrofurantoin,17,2,Treatment of Bacterial infections of urinary tract,Infura 100mg Tablet | Martifur MR 100mg Tablet | Martifur MR 50mg Tablet | Martifur Tablet | Niftas 50 Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
cetrimide,16,11,Scabies | Dandruff | Treatment of Wound infection | Skin infections,Dufklin Lotion | Healex Plus Spray | Hexab Emulsion | Intalon  Liquid | Ketamide Soap,,composition_level_evidence_only,review_required
coenzyme q10,16,16,Female infertility | Nutritional deficiencies | Male infertility | Treatment of Nutritional deficiencies | Infertility,Critizyme Tablet | Maxoza Powder | Multipro LC Soft Gelatin Capsule | New Alene Tablet | Optiqmega Capsule,,composition_level_evidence_only,review_required
deflazacort,16,6,Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Cancer | Treatment of Kidney stone | Treatment of Duchenne muscular dystrophy(DMD)Treatment of Inflammatory conditionsTreatment of Autoimmune conditionsTreatment of Cancer,Anort 30 Tablet | Decdan Next 6mg Tablet | Defcort 18 Tablet | Defwave  6 Tablet | Dezacor 30 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
fluorometholone,16,6,Redness and swelling in the eye | Treatment of Bacterial eye infections,Eflo 0.1% Eye Ointment | Eflo Eye Drop | FM 1 Eye Drop | FML NEO Liquifilm | Flarex  Ophthalmic Suspension,,composition_level_evidence_only,review_required
hydroxychloroquine,16,3,Treatment of Rheumatoid arthritisTreatment of Systemic lupus erythematosus (SLE)Treatment of Type 2 diabetes mellitus,Era-H Tablet | H-Quine Tablet | HCQS 200 Tablet | HCQS 300 Tablet | HCQS 400 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
lindane,16,7,Scabies,G.B.H.C Soap | Gama Soap | Gamabiol Lotion | Gamalice Lotion | Gamascab Lotion,,composition_level_evidence_only,review_required
methotrexate,16,9,Treatment of CancerTreatment of Rheumatoid arthritisTreatment of PsoriasisTreatment of Crohn’s disease | Treatment of Rheumatoid arthritisTreatment of PsoriasisTreatment of CancerTreatment of Crohn’s disease | Treatment of Cancer | Rheumatoid arthritis | Treatment of Psoriasis,Biotrexate 50mg Injection | Folitrax 20 Injection | Folitrax 25 Injection | Folitrax 25 Tablet | Folitrax 50 Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
mycophenolate sodium,16,2,Prevention of organ rejection in transplant patients,Biomyf-S 360 Tablet | Fenograf S 360mg Tablet | Immutil-S 360 Tablet DR | Keycept S 360 Tablet | MMF -S Tablet,,composition_level_evidence_only,review_required
oxychloro complex,16,3,Treatment of Dry eyes,I-Dew DS Aquagel | Irivisc DS Eye Drop | Lacrimos 0.5% Eye Drop | Lacrimos-G Eye Drop | Lacripex Eye Drop,,composition_level_evidence_only,review_required
silymarin,16,13,Chronic liver disease Liver cirrhosis | Treatment of Liver  disease | Fatty liver disease | Liver disease | Nutritional deficiencies,Heparid Syrup | Hepasil 140mg Tablet | Hepasil Syrup | Leepure Tablet | Limarin 140 Capsule,,composition_level_evidence_only,review_required
tenofovir disoproxil fumarate,16,6,HIV infection | Treatment of Chronic hepatitis B virus (HBV) infection | Treatment of Chronic hepatitis B virus (HBV) infectionTreatment of HIV infection | Treatment of HIV infection,Avonza Tablet | Ricovir 300mg Tablet | Rivofonet Tablet | Teevir Tablet | Tenarica Tablet,,composition_level_evidence_only,review_required
travoprost,16,2,Treatment of GlaucomaTreatment of Ocular hypertension,Lupitros Eye Drop | Lupitros-T Eye Drop | Lupitros-TZ Eye Drop | Lupitros-Z Eye Drop BKC Free | New Travisight-T Eye Drop,chronic_or_specialist_condition,composition_level_evidence_only,review_required
calcium dobesilate,15,8,Treatment of Piles | Treatment of PilesTreatment of Varicose veins | Piles | Constipation,Doberol Capsule | Dobest Capsule | Hemolit Cream | Logisil Capsule | Osil Capsule,,composition_level_evidence_only,review_required
chloramphenicol,15,12,Treatment of Bacterial eye infections | Bacterial infections | Treatment of Bacterial eye / ear infections | Treatment of Ear infection | Treatment of Ear pain | Treatment of Uveitis,Atrodex-C Eye Drop | Enteromycetin Suspension | Ocupol DX Eye Ointment | Ocupol DX Sterile Eye/Ear Drops | Ocupol Eye/Ear Drops,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
ciclosporin,15,5,Prevention of organ rejection in transplant patients Rheumatoid arthritis PsoriasisPrevention of graft rejection following Bone marrow transplantationTreatment of Nephrotic syndrome | Dry eyes,Arpimune ME 100mg Capsule | Hydroeyes 0.05% Eye Drop | Hydroeyes HS Eye Drop | Iminoral 100 Capsule | Iminoral 50 Capsule,,composition_level_evidence_only,review_required
cinnarizine,15,5,Treatment of Motion sicknessTreatment of VertigoTreatment of Meniere's disease | Treatment of Vertigo | Vertigo,Diziron D Tablet MD | Diziron Tablet | Gemvert Tablet | Stugeron Forte Tablet | Stugeron Plus Tablet,,composition_level_evidence_only,review_required
cyproheptadine,15,9,Treatment of Allergic conditions Appetite stimulant | Appetite stimulant | Appetite stimulantTreatment of Allergic skin conditions,Abitol Tablet | Apetamin Syrup | Aptimust Syrup | Biopron 4mg Tablet | Biopron Syrup,,composition_level_evidence_only,review_required
dimethicone,15,13,Acidity Heartburn Stomach ulcers | Acidity Stomach ulcers Bloating | Improving Abdominal painTreatment of Irritable bowel syndrome | Indigestion Bloating | Acidity Indigestion | Constipation | Constipation Bloating | Skin infections | Treatment of BloatingTreatment of Abdominal pain,Dimol 40 Tablet | Endyze 170 mg/80 mg Tablet | Lokcid-O Gel Mint Sugar Free | Moza MPS Chewable Tablet | Neopride MPS Tablet,,composition_level_evidence_only,review_required
indapamide,15,11,Hypertension (high blood pressure) | Hypertension (high blood pressure)Treatment of Edema,Amlodac-D Tablet SR | Aten-D Tablet | Inditel D Capsule SR | Lorvas SR Tablet | Lorvas Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
ivermectin,15,7,Treatment of Parasitic infections | Treatment of Worm infections | RosaceaTreatment of Parasitic infections,Abendol Plus 12mg/400mg Tablet | Bandy-Plus 12 Chewable Tablet | Bandy-Plus Chewable Tablet | Bandy-Plus Suspension | Evimectin-A Tablet,,composition_level_evidence_only,review_required
nadifloxacin,15,7,Treatment of Bacterial skin infections | Treatment of Skin infections | Skin infections,Afderm-MN + Cream | Mycoderm-NM Cream | Nadibact Cream | Nadibact Gel | Nadifa Cream,,composition_level_evidence_only,review_required
nifedipine,15,7,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke | Treatment of Anal fissure | Hypertension (high blood pressure),Anobliss Cream | Anorelief Cream | Anozest Cream | Beta-Nicardia Capsule SR | Escot Cream,chronic_or_specialist_condition,composition_level_evidence_only,review_required
ticagrelor,15,2,Prevention of heart attack and stroke,Axcer  60mg Tablet | Axcer  90mg Tablet | Brigrel Tablet | Brilinta 90mg Tablet | Tiare 90mg Tablet,,composition_level_evidence_only,review_required
topiramate,15,4,Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome,Leptomate 100 Tablet | Leptomate 50 Tablet | Nextop 25 Tablet | Nextop 50 Tablet | Topaine 25mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
venlafaxine,15,3,Depression Anxiety disorder,Nutraport 37.5mg Tablet | Veniz XR 150 Capsule | Veniz XR 37.5 Capsule | Veniz XR 75 Capsule | Venla -XR 150 Capsule,,composition_level_evidence_only,review_required
betamethasone,14,12,Eczema Psoriasis | Treatment of Allergic conditions | Treatment of Allergic skin conditionsTreatment of Allergic conditions | Psoriasis | Treatment of Bacterial eye / ear infections | Treatment of Skin infections,Betagel | Betamine Forte Tablet | Betasalic Ointment | Betnesol Oral Drops | Betnesol Tablet,,composition_level_evidence_only,review_required
carbidopa,14,7,Treatment of Parkinson's disease | Parkinson's disease,Entacom Plus 100 Tablet | Entacom Plus 150 Tablet | LCD 110 Tablet | LCD 275 Tablet | Syncapone 100 Tablet,,composition_level_evidence_only,review_required
coal tar,14,7,Treatment of Dandruff | Psoriasis,Kerashine-CT Anti-Dandruff Lotion | Ketafung CT Lotion | Ketar Scalp Solution | Ketonext CT Shampoo | Klinique Plus  Lotion,,composition_level_evidence_only,review_required
donepezil,14,5,Alzheimer's disease,Alzil 5 Tablet | Alzil-M 5 Tablet | Aricep 10 Tablet | Aricep 23 SR Tablet | Aricep 5 Tablet,,composition_level_evidence_only,review_required
ebastine,14,5,Allergic conditions | Sneezing and runny nose due to allergies | Treatment of Sneezing and runny nose due to allergies,Amvibast 20mg Tablet | Ebal 10 Tablet | Ebal 20 Tablet | Ebal-M Tablet | Ebamont Tablet,,composition_level_evidence_only,review_required
finasteride,14,7,Treatment of Benign prostatic hyperplasia | Treatment of Hair loss | Hair loss | Treatment of Hair lossTreatment of Benign prostatic hyperplasia,Bkosa-F Tablet | Finabald 1mg Tablet | Finabald 2.5mg Tablet | Finabald 5mg Tablet | Finacet 1mg Tablet,,composition_level_evidence_only,review_required
flupirtine,14,4,Pain relief | Pain due to muscle spasm,Flugesic SR Tablet | Katadol Capsule | Ketoflam SR Tablet | Ketoflam T 4 Tablet | Ketoflam-P Tablet,,composition_level_evidence_only,review_required
human insulin,14,3,Diabetes,Actrapid 100 IU/ml Flexpen | Actrapid HM 100IU/ml Penfill | Human Actrapid 40IU/ml Solution for Injection | Huminsulin R 100IU Cartridge | Huminsulin R 100IU/ml Solution for Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
insulin lispro,14,5,Diabetes | Treatment of Diabetes,Eglucent Kwikpen | Eglucent Mix 25 100IU/ml Suspension for Injection | Eglucent Mix 25 Kwikpen 100IU/ml | Eglucent Mix 50 100IU/ml Suspension for Injection | Eglucent Mix 50 Kwikpen 100IU/ml,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
levodopa,14,7,Treatment of Parkinson's disease | Parkinson's disease,Entacom Plus 100 Tablet | Entacom Plus 150 Tablet | LCD 110 Tablet | LCD 275 Tablet | Syncapone 100 Tablet,,composition_level_evidence_only,review_required
liquid paraffin,14,4,Treatment of Constipation | Constipation | Dry Skin,Eva Q Plus  Oral Emulsion Strawberry Mint Sugar Free | Gudlax-Plus Laxative Peppermint Sugar Free | Kinlax Oral Suspension Mint Sugar Free | Kleangut Plus Oral Emulsion Peppermint | Lactihep Plus Oral Emulsion,,composition_level_evidence_only,review_required
menotrophin,14,4,Female infertility Male hypogonadism Male infertility,Diva Hmg 75i.u Injection | Diva Hmg HP 150IU Injection | Eema Hmg 150IU Injection | Humog 150 HP Injection | Humog 150 Injection,injection_or_parenteral,composition_level_evidence_only,review_required
ranitidine,14,5,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Aciloc 150 Tablet | Aciloc 300 Tablet | Aciloc Injection | Aciloc Only Oral Liquid | R-Loc 150 Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
theophylline,14,12,Treatment of Chronic obstructive pulmonary disease (COPD) | Treatment of Asthma | Asthma | Cough | Treatment and prevention of Asthma,Dericip 77mg/23mg Tablet | Dericip Retard 150 Tablet PR | Dericip Retard 300  Tablet PR | Deriphyllin Injection | Deriphyllin OD 300 Tablet PR,injection_or_parenteral,composition_level_evidence_only,review_required
choline salicylate,13,5,Treatment of Mouth ulcers,Anabel Liquid Gel | Anabel-CT Gel | Dentogel Liquid | Folimost Gel | Ora-Fast Gel,,composition_level_evidence_only,review_required
dapagliflozin,13,6,Treatment of Type 2 diabetes mellitus,Gluxit 10mg Tablet | Oxra 10mg Tablet | Oxra 5mg Tablet | Oxramet 5mg/1000mg Tablet IR | Oxramet XR 10mg/1000mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
